3.5640 	 44.0316
3.5744 	 43.1247
3.5946 	 42.5604
3.6179 	 42.1909
3.6418 	 41.9459
3.6653 	 41.7852
3.6880 	 41.6839
3.7096 	 41.6256
3.7300 	 41.5991
3.7493 	 41.5966
3.7675 	 41.6126
3.7847 	 41.6429
3.8010 	 41.6845
3.8164 	 41.7351
3.8310 	 41.7929
3.8448 	 41.8565
3.8580 	 41.9250
3.8706 	 41.9974
3.8827 	 42.0731
3.8942 	 42.1515
3.9053 	 42.2323
3.9160 	 42.3150
3.9262 	 42.3994
3.9361 	 42.4852
3.9457 	 42.5722
3.9550 	 42.6604
3.9640 	 42.7494
3.9728 	 42.8393
3.9813 	 42.9299
3.9896 	 43.0211
3.9978 	 43.1129
4.0057 	 43.2052
4.0135 	 43.2979
4.0211 	 43.3911
4.0286 	 43.4846
4.0359 	 43.5785
4.0432 	 43.6726
4.0503 	 43.7671
4.0573 	 43.8617
4.0642 	 43.9567
4.0711 	 44.0518
4.0778 	 44.1471
4.0845 	 44.2427
4.0911 	 44.3383
4.0977 	 44.4342
4.1041 	 44.5302
4.1106 	 44.6263
4.1170 	 44.7226
4.1233 	 44.8190
4.1296 	 44.9155
4.1358 	 45.0122
4.1420 	 45.1089
4.1482 	 45.2057
4.1544 	 45.3026
4.1605 	 45.3996
4.1666 	 45.4966
4.1726 	 45.5938
4.1787 	 45.6910
4.1847 	 45.7883
4.1907 	 45.8856
4.1967 	 45.9830
4.2027 	 46.0804
4.2086 	 46.1779
4.2146 	 46.2755
4.2205 	 46.3730
4.2264 	 46.4706
4.2323 	 46.5683
4.2382 	 46.6660
4.2441 	 46.7637
4.2500 	 46.8614
4.2559 	 46.9591
4.2618 	 47.0569
4.2676 	 47.1547
4.2735 	 47.2525
4.2794 	 47.3502
4.2852 	 47.4481
4.2911 	 47.5459
4.2970 	 47.6437
4.3028 	 47.7415
4.3087 	 47.8393
4.3145 	 47.9371
4.3204 	 48.0349
4.3262 	 48.1326
4.3321 	 48.2304
4.3379 	 48.3281
4.3438 	 48.4258
4.3497 	 48.5235
4.3555 	 48.6212
4.3614 	 48.7189
4.3672 	 48.8165
4.3731 	 48.9141
4.3790 	 49.0116
4.3848 	 49.1092
4.3907 	 49.2066
4.3966 	 49.3041
4.4024 	 49.4015
4.4083 	 49.4989
4.4142 	 49.5962
4.4201 	 49.6934
4.4260 	 49.7907
4.4319 	 49.8878
4.4377 	 49.9850
4.4436 	 50.0820
4.4495 	 50.1790
4.4554 	 50.2760
4.4613 	 50.3729
4.4672 	 50.4697
4.4731 	 50.5665
4.4790 	 50.6632
4.4849 	 50.7598
4.4908 	 50.8564
4.4967 	 50.9529
4.5027 	 51.0493
4.5086 	 51.1456
4.5145 	 51.2419
4.5204 	 51.3381
4.5263 	 51.4342
4.5323 	 51.5303
4.5382 	 51.6262
4.5441 	 51.7221
4.5500 	 51.8179
4.5560 	 51.9137
4.5619 	 52.0093
4.5678 	 52.1048
4.5738 	 52.2003
4.5797 	 52.2957
4.5857 	 52.3909
4.5916 	 52.4861
4.5975 	 52.5812
4.6035 	 52.6762
4.6094 	 52.7711
4.6154 	 52.8660
4.6213 	 52.9607
4.6272 	 53.0553
4.6332 	 53.1498
4.6391 	 53.2442
4.6451 	 53.3385
4.6510 	 53.4327
4.6570 	 53.5269
4.6629 	 53.6209
4.6689 	 53.7148
4.6748 	 53.8086
4.6808 	 53.9022
4.6867 	 53.9958
4.6927 	 54.0893
4.6986 	 54.1827
4.7045 	 54.2759
4.7105 	 54.3690
4.7164 	 54.4621
4.7224 	 54.5550
4.7283 	 54.6478
